1,2,4,1
00,00,00,00,00,10,11,00,00,00,00,00,00,00
00,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,02,02,01,01,01,01,01,01,02,02,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,00
12,01,01,01,01,01,02,02,01,01,01,01,01,12
00,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,02,02,01,01,01,01,01,01,02,02,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,00
00,00,00,00,00,10,11,00,00,00,00,00,00,00
20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,27,20,20,20,20,27,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,27,20,20,20,20,27,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,27,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20
